Symptom,Disease,Advice,Medicine,Workout
Dizziness,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Back Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Rest for 2-3 days
Nausea,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Fever,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Steam inhalation
Numbness,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Rest for 2-3 days
Anxiety,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Massage therapy
Muscle Cramps,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light stretching
Sore Throat,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Muscle relaxation
Heart Palpitations,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Muscle relaxation
Weakness,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light walking
Ear Pain,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Dietary adjustments
Weight Loss,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Yoga & meditation
Lightheadedness,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Breathing exercises
Dizziness,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Massage therapy
Diarrhea,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Cardio exercises
Numbness,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Yoga & meditation
Knee Pain,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Cardio exercises
Night Sweats,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Steam inhalation
Weight Loss,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Rest for 2-3 days
Hair Loss,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Back Pain,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Muscle relaxation
Vision Problems,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Physiotherapy
Lightheadedness,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Rest for 2-3 days
Hair Loss,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Light walking
Fatigue,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Eye exercises
Sore Throat,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Regular exercise
Back Pain,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Regular exercise
Blurred Vision,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Strength training
Memory Loss,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Yoga & meditation
Ear Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Yoga & meditation
Low Blood Sugar,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Steam inhalation
Swollen Lymph Nodes,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Physiotherapy
Numbness,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Dietary adjustments
Nausea,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Aerobic workouts
Frequent Urination,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Regular exercise
Fever,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Eye exercises
Slow Healing Wounds,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Strength training
Runny Nose,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Muscle Cramps,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Regular exercise
Dry Skin,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Cardio exercises
Frequent Urination,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Strength training
Anxiety,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Steam inhalation
Skin Itching,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Breathing exercises
Anxiety,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Regular exercise
Swelling,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Rest for 2-3 days
Sore Throat,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Eye exercises
Fever,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
Low Blood Sugar,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Eye exercises
Night Sweats,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Aerobic workouts
Back Pain,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Rest for 2-3 days
Fever,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Muscle relaxation
Joint Pain,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Muscle relaxation
Dry Skin,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light walking
Insomnia,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Light stretching
Vomiting,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Chest Pain,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Sore Throat,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Massage therapy
Dry Skin,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Regular exercise
Knee Pain,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Massage therapy
Muscle Cramps,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Light walking
Dizziness,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Rest for 2-3 days
High Blood Pressure,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Light stretching
Knee Pain,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Steam inhalation
Tingling Sensation,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Steam inhalation
Swelling,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Regular exercise
Shortness of Breath,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Back Pain,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Rest for 2-3 days
Lightheadedness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Breathing exercises
Muscle Cramps,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Steam inhalation
Sore Throat,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Muscle relaxation
Dry Skin,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Light walking
Vision Problems,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Muscle relaxation
Muscle Cramps,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Regular exercise
Dry Skin,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Breathing exercises
Weakness,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Muscle Cramps,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Muscle relaxation
Swollen Lymph Nodes,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Physiotherapy
Nausea,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Rest for 2-3 days
Frequent Urination,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Cardio exercises
Headache,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Steam inhalation
Back Pain,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Breathing exercises
Stomach Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Breathing exercises
Rash,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Muscle relaxation
Heart Palpitations,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Aerobic workouts
Swollen Lymph Nodes,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Eye exercises
Frequent Urination,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Massage therapy
Memory Loss,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Physiotherapy
Depression,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Steam inhalation
Nosebleeds,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Dietary adjustments
Nausea,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Muscle relaxation
Numbness,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Aerobic workouts
Dry Skin,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light stretching
Vomiting,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Aerobic workouts
Numbness,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Dietary adjustments
Constipation,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Muscle relaxation
Heart Palpitations,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Fatigue,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Breathing exercises
Frequent Urination,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Strength training
Heart Palpitations,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Yoga & meditation
Dark Urine,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Yoga & meditation
Muscle Cramps,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Rest for 2-3 days
Headache,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Yoga & meditation
Vision Problems,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Eye exercises
Ear Pain,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light walking
Swollen Lymph Nodes,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Breathing exercises
Anxiety,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Regular exercise
Fatigue,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light walking
Swelling,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Dietary adjustments
Cold Hands,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Eye exercises
Depression,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Steam inhalation
High Blood Pressure,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Yoga & meditation
Runny Nose,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Aerobic workouts
Vision Problems,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Massage therapy
Chest Pain,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Breathing exercises
Nosebleeds,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Breathing exercises
Ear Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Aerobic workouts
Rash,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Light walking
Constipation,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Anxiety,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Massage therapy
Slow Healing Wounds,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light walking
Fatigue,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Massage therapy
Fever,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Massage therapy
Night Sweats,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Light stretching
Night Sweats,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Cardio exercises
Diarrhea,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Regular exercise
Joint Pain,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Strength training
Rash,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light stretching
Vomiting,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Dietary adjustments
Lightheadedness,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light walking
Runny Nose,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Cardio exercises
Lightheadedness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Strength training
Cough,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Strength training
Tingling Sensation,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Skin Itching,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Insomnia,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Rest for 2-3 days
Shortness of Breath,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Muscle relaxation
Chest Pain,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Yoga & meditation
Night Sweats,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Aerobic workouts
Vision Problems,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Regular exercise
Hair Loss,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Dizziness,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Yoga & meditation
Dark Urine,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Eye exercises
Skin Itching,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Strength training
Joint Pain,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Muscle relaxation
Knee Pain,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Aerobic workouts
Ear Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Muscle relaxation
High Blood Pressure,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Stomach Pain,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Dietary adjustments
Stomach Pain,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Breathing exercises
Vomiting,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Yoga & meditation
Muscle Cramps,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light walking
Runny Nose,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Dietary adjustments
Runny Nose,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Breathing exercises
Nosebleeds,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Brittle Nails,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Dietary adjustments
Fever,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Aerobic workouts
Ear Pain,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Rest for 2-3 days
Eye Irritation,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Muscle relaxation
Cough,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Yoga & meditation
Rash,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Regular exercise
Depression,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Strength training
Memory Loss,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Eye exercises
Depression,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Physiotherapy
Swelling,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Dietary adjustments
Heart Palpitations,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Aerobic workouts
Brittle Nails,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Depression,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Strength training
Nosebleeds,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Diarrhea,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Massage therapy
Stomach Pain,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Cardio exercises
Tingling Sensation,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Steam inhalation
Nosebleeds,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Breathing exercises
Weight Gain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Steam inhalation
Sore Throat,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Strength training
Dry Skin,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
Chest Pain,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Strength training
Knee Pain,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Aerobic workouts
Eye Irritation,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Blurred Vision,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Cardio exercises
Dark Urine,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light walking
Knee Pain,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Steam inhalation
Slow Healing Wounds,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Cardio exercises
Vomiting,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Physiotherapy
Nosebleeds,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Massage therapy
Fatigue,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Knee Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Physiotherapy
Weight Loss,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Eye exercises
Heart Palpitations,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Regular exercise
Knee Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Dietary adjustments
Runny Nose,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Slow Healing Wounds,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Eye exercises
Chest Pain,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Massage therapy
Weight Gain,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Dietary adjustments
Constipation,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Physiotherapy
Swollen Lymph Nodes,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light stretching
Back Pain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Breathing exercises
Back Pain,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Dietary adjustments
Knee Pain,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Increased Thirst,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Aerobic workouts
Frequent Urination,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Regular exercise
Insomnia,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light walking
Stomach Pain,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Yoga & meditation
Memory Loss,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Aerobic workouts
Muscle Cramps,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Dietary adjustments
High Blood Pressure,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Low Blood Sugar,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light walking
Slow Healing Wounds,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Aerobic workouts
Anxiety,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light walking
High Blood Pressure,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Strength training
Fatigue,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Rest for 2-3 days
Eye Irritation,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Eye exercises
Fatigue,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Massage therapy
Dry Skin,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Cardio exercises
Swelling,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Eye exercises
Nosebleeds,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Breathing exercises
Fatigue,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Regular exercise
Eye Irritation,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Steam inhalation
Stomach Pain,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Breathing exercises
Fever,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Heart Palpitations,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Strength training
Nausea,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Dietary adjustments
Diarrhea,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light walking
Headache,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Yoga & meditation
Depression,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Massage therapy
Lightheadedness,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Physiotherapy
Headache,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Muscle relaxation
Rash,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Muscle relaxation
Dark Urine,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Eye exercises
Diarrhea,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Rest for 2-3 days
Hair Loss,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Physiotherapy
Lightheadedness,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Yoga & meditation
Ear Pain,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Muscle relaxation
Dark Urine,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Dietary adjustments
Cough,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Yoga & meditation
Vision Problems,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Dietary adjustments
Swollen Lymph Nodes,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light stretching
Stomach Pain,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Eye exercises
Headache,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Dietary adjustments
Sore Throat,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Cardio exercises
Knee Pain,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Rest for 2-3 days
Headache,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Dietary adjustments
Skin Itching,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Rest for 2-3 days
Brittle Nails,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Dietary adjustments
Frequent Urination,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Rest for 2-3 days
Brittle Nails,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Constipation,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Aerobic workouts
Blurred Vision,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Breathing exercises
Numbness,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light stretching
Heart Palpitations,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Steam inhalation
Headache,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Massage therapy
Vision Problems,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Steam inhalation
Vomiting,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Light walking
Nosebleeds,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Breathing exercises
